Book,Chapter,Verse,GenZ,Norm
2 Samuel,11,19,"Dude, it's so heartbreaking! The cool peeps from Israel, they got crushed in the most prominent spots. It's like, why did the strong ones have to go down? It's a total bummer!",The beauty of Israel is slain upon thy high places: how are the mighty fallen!
2 Samuel,11,20,"Don't even spill the tea in Gath, don't flex in the streets of Askelon. We don't want those Philistine girls getting too hyped, or the uncircumcised girls flexing too hard.","Tell {it} not in Gath, publish {it} not in the streets of Askelon; lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph."
2 Samuel,11,21,"Yo, Gilboa mountains, no need for any dew or rain to fall on you. Don't expect any fields of offerings either. It's because over there, the shield of the mighty Saul was shamefully discarded, like it wasn't even anointed with oil.","Ye mountains of Gilboa, {let there be} no dew, neither {let there be} rain, upon you, nor fields of offerings: for there the shield of the mighty is vilely cast away, the shield of Saul, {as though he had} not {been} anointed with oil."
2 Samuel,11,22,"The epic moves of Jonathan and Saul were unmatched - they never held back, leaving a trail of fallen foes and victorious battles. No arrow missed its mark, and no swing of the sword left unfinished business.","From the blood of the slain, from the fat of the mighty, the bow of Jonathan turned not back, and the sword of Saul returned not empty."
2 Samuel,11,23,"Saul and Jonathan were totally awesome and had the best vibes while they were alive. Even in death, they stayed tight and loyal to each other. They were faster than eagles and stronger than lions. Like, seriously impressive, man. #SquadGoals #Legends","Saul and Jonathan {were} lovely and pleasant in their lives, and in their death they were not divided: they were swifter than eagles, they were stronger than lions. {pleasant: or, sweet}"
2 Samuel,11,24,"Yo, Israelite girls, shed tears for Saul, the one who hooked you up with fire red outfits and other dope stuff, and decked you out with gold bling on your clothes.","Ye daughters of Israel, weep over Saul, who clothed you in scarlet, with {other} delights, who put on ornaments of gold upon your apparel."
2 Samuel,11,25,"OMG, the mighty ones totally got wrecked in the battle! Jonathan, dude, you got taken out while holding your ground at a high spot.","How are the mighty fallen in the midst of the battle! O Jonathan, {thou wast} slain in thine high places."
2 Samuel,11,26,"Dude, I'm really bummed out for you, my bro Jonathan. You've always been super cool to me, like seriously awesome. Your love for me has been next level, even stronger than any love from girls.","I am distressed for thee, my brother Jonathan: very pleasant hast thou been unto me: thy love to me was wonderful, passing the love of women."
2 Samuel,11,27,"Yo, the strong ones have totally bit the dust and their weapons of war? They're straight up gone!","How are the mighty fallen, and the weapons of war perished!"
2 Samuel,21,2,"So David went up there, and his two wives were with him, Ahinoam the Jezreelitess, and Abigail, who was married to Nabal the Carmelite dude.","So David went up thither, and his two wives also, Ahinoam the Jezreelitess, and Abigail Nabal's wife the Carmelite."
2 Samuel,21,3,"David brought all his homies with him and they flexed to Hebron, where they set up shop in different cities, along with their fams.","And his men that {were} with him did David bring up, every man with his household: and they dwelt in the cities of Hebron."
2 Samuel,21,4,"So, the dudes from Judah rolled up and they totally crowned David as the king of Judah. And they hit up David, like, yo, it was the dudes from Jabeshgilead who took care of Saul's burial.","And the men of Judah came, and there they anointed David king over the house of Judah. And they told David, saying, {That} the men of Jabeshgilead {were they} that buried Saul."
2 Samuel,21,5,"So David like DM-ed the guys from Jabeshgilead and was like, yo, you guys are totally blessed by the LORD for being so cool to your lord, Saul, and giving him a proper burial.","And David sent messengers unto the men of Jabeshgilead, and said unto them, Blessed {be} ye of the LORD, that ye have shewed this kindness unto your lord, {even} unto Saul, and have buried him."
2 Samuel,21,6,"And now may the LORD bless you with kindness and honesty: and I will also repay you for your kindness, because you did this thing.","And now the LORD shew kindness and truth unto you: and I also will requite you this kindness, because ye have done this thing."
2 Samuel,21,7,"So like, it's time to step up, be strong, and show some courage! 'Cause Saul, your leader, is no more, and the people of Judah have chosen me as their king. Be like, the sons and daughters of bravery, you know?","Therefore now let your hands be strengthened, and be ye valiant: for your master Saul is dead, and also the house of Judah have anointed me king over them. {be ye...: Heb. be ye the sons of valour}"
2 Samuel,21,8,"So Abner, Saul's main man, grabbed Ishbosheth, Saul's son, and took him to Mahanaim. (BTW, Ishbosheth's other name is Eshbaal.)","But Abner the son of Ner, captain of Saul's host, took Ishbosheth the son of Saul, and brought him over to Mahanaim; {Saul's host: Heb. the host which was Saul's} {Ishbosheth: or, Eshbaal}"
2 Samuel,21,9,"And gave him the crown to rule Gilead, the Ashurites, Jezreel, Ephraim, Benjamin, and all of Israel.","And made him king over Gilead, and over the Ashurites, and over Jezreel, and over Ephraim, and over Benjamin, and over all Israel."
2 Samuel,21,10,"Ishbosheth, Saul's son, was, like, forty years old when he started being the boss of Israel and reigned for two years. But the homies in Judah were all about David.","Ishbosheth Saul's son {was} forty years old when he began to reign over Israel, and reigned two years. But the house of Judah followed David."
2 Samuel,21,11,"So, like, David was totally ruling in Hebron for, like, seven years and six months, you know? It was, like, a pretty long time n' all. {time: BTW, Hebrew peeps count it in days}",And the time that David was king in Hebron over the house of Judah was seven years and six months. {time: Heb. number of days}
2 Samuel,21,12,"So Abner, Ner's kid, and the squad of Ishbosheth (the son of Saul) left Mahanaim and rolled up to Gibeon.","And Abner the son of Ner, and the servants of Ishbosheth the son of Saul, went out from Mahanaim to Gibeon."
2 Samuel,21,13,"So Joab, Zeruiah's son, and David's crew all dipped out and linked up at the Gibeon hot spot. They parked themselves on opposite ends of the pool, just chillin'.","And Joab the son of Zeruiah, and the servants of David, went out, and met together by the pool of Gibeon: and they sat down, the one on the one side of the pool, and the other on the other side of the pool. {together: Heb. them together}"
2 Samuel,21,14,"Abner was like, 'Yo Joab, tell the squad to get up and entertain us.' And Joab was all like, 'Yeah, let them get up.'","And Abner said to Joab, Let the young men now arise, and play before us. And Joab said, Let them arise."
2 Samuel,21,15,"So, like, twelve dudes from Benjamin joined Ishbosheth, Saul's son, and twelve other homies from David's squad.","Then there arose and went over by number twelve of Benjamin, which {pertained} to Ishbosheth the son of Saul, and twelve of the servants of David."
2 Samuel,21,16,"And they like totally grabbed each other by the head, and like stabbed their swords into each other's sides; and they literally fell down together: 'cause of that, the place was named Helkathhazzurim, which is like, in Gibeon. Helkathhazzurim means, like, The field of strong dudes or something.","And they caught every one his fellow by the head, and {thrust} his sword in his fellow's side; so they fell down together: wherefore that place was called Helkathhazzurim, which {is} in Gibeon. {Helkathhazzurim: that is, The field of strong men}"
2 Samuel,21,17,"So, like, there was this intense battle that went down that day, and Abner got totally wrecked along with the whole Israel crew, before David's squad took over.","And there was a very sore battle that day; and Abner was beaten, and the men of Israel, before the servants of David."
2 Samuel,21,18,"So there were these three dudes, Joab, Abishai, and Asahel, who were the sons of Zeruiah. And let me tell you, Asahel was like super fast, I'm talking Usain Bolt level speed. Like a wild deer running through the field, this guy was a total speed demon on his feet.","And there were three sons of Zeruiah there, Joab, and Abishai, and Asahel: and Asahel {was as} light of foot as a wild roe. {of foot: Heb. of his feet} {as a wild...: Heb. as one of the roes that is in the field}"
2 Samuel,21,19,"And Asahel was totally after Abner, not slowing down or getting distracted at all. He stayed right on Abner's tail, no zigzagging or taking detours. #FocusedGoals",And Asahel pursued after Abner; and in going he turned not to the right hand nor to the left from following Abner. {from...: Heb. from after Abner}
2 Samuel,21,20,"Abner turned around and asked, 'Are you Asahel?' And he replied, 'Yep, that's me.'","Then Abner looked behind him, and said, {Art} thou Asahel? And he answered, I {am}."
2 Samuel,21,21,"And Abner was like, 'Yo, go to the right or left and grab one of the young dudes and snatch their gear.' But Asahel was like, 'Nah, I ain't drifting apart from chasing this dude.'","And Abner said to him, Turn thee aside to thy right hand or to thy left, and lay thee hold on one of the young men, and take thee his armour. But Asahel would not turn aside from following of him. {armour: or, spoil}"
2 Samuel,21,22,"And Abner was like, dude, Asahel, chillax and stop following me, man. Why do I gotta hurt you and humiliate myself in front of your bro Joab?","And Abner said again to Asahel, Turn thee aside from following me: wherefore should I smite thee to the ground? how then should I hold up my face to Joab thy brother?"
2 Samuel,21,23,"But he totally didn't want to back down, so Abner straight up hit him with the back end of his spear right in the side, like really hard. The spear went clean through him and came out the other side. He just straight up died right then and there. And it's crazy, but everyone who saw Asahel fall down and die just froze in their tracks, man.","Howbeit he refused to turn aside: wherefore Abner with the hinder end of the spear smote him under the fifth {rib}, that the spear came out behind him; and he fell down there, and died in the same place: and it came to pass, {that} as many as came to the place where Asahel fell down and died stood still."
2 Samuel,21,24,"Joab and Abishai were chasing after Abner. They kept going until the sun went down and they reached the hill of Ammah, near Giah on the way to the wildnerness of Gibeon.","Joab also and Abishai pursued after Abner: and the sun went down when they were come to the hill of Ammah, that {lieth} before Giah by the way of the wilderness of Gibeon."
2 Samuel,21,25,"So, like, the peeps from Benjamin got together and formed, like, this big squad after Abner. They all chilled on top of a hill, totally united.","And the children of Benjamin gathered themselves together after Abner, and became one troop, and stood on the top of an hill."
2 Samuel,21,26,"So Abner hits up Joab and is like, 'Bro, do we gotta just keep killin' each other? Don't you realize it's gonna bring hella bitterness in the long run? How much longer do we gotta wait before you tell our peeps to stop chasing after their own fam?'","Then Abner called to Joab, and said, Shall the sword devour for ever? knowest thou not that it will be bitterness in the latter end? how long shall it be then, ere thou bid the people return from following their brethren?"
2 Samuel,21,27,"Joab was like, 'I swear to God, if you hadn't said anything, everyone would have split up in the morning and gone their own way.'","And Joab said, {As} God liveth, unless thou hadst spoken, surely then in the morning the people had gone up every one from following his brother. {in the...: Heb. from the morning} {gone...: or, gone away}"
2 Samuel,21,28,"Then Joab pulled out his phone and played a sick beat, and everyone just froze and stopped chasing after Israel. They were like, nah, no more fighting.","So Joab blew a trumpet, and all the people stood still, and pursued after Israel no more, neither fought they any more."
2 Samuel,21,29,"So Abner and his squad decided to march all night long across the plain, crossed over the Jordan River, and trekked through Bithron like bosses. Finally, they arrived at their destination, Mahanaim.","And Abner and his men walked all that night through the plain, and passed over Jordan, and went through all Bithron, and they came to Mahanaim."
2 Samuel,21,30,"So Joab came back after chasing Abner and realized that nineteen of David's men, including Asahel, were missing.","And Joab returned from following Abner: and when he had gathered all the people together, there lacked of David's servants nineteen men and Asahel."
2 Samuel,21,31,"But David's followers fought against Benjamin and Abner's men, and three hundred and sixty men were killed.","But the servants of David had smitten of Benjamin, and of Abner's men, {so that} three hundred and threescore men died."
2 Samuel,21,32,So they picked up Asahel and laid him to rest in his father's tomb in Bethlehem. Then Joab and his crew traveled all night and arrived in Hebron by daybreak.,"And they took up Asahel, and buried him in the sepulchre of his father, which {was in} Bethlehem. And Joab and his men went all night, and they came to Hebron at break of day."
1 Kings,11,2,"So his homies said to him, yo, we gotta find a fresh young babe for my boy the king. She gonna stand by his side, show him love and be his bae. Like, they gonna get cozy together so my boy the king can feel the fire.","Wherefore his servants said unto him, Let there be sought for my lord the king a young virgin: and let her stand before the king, and let her cherish him, and let her lie in thy bosom, that my lord the king may get heat. {Let there...: Heb. Let them seek} {a young...: Heb. a damsel, a virgin} {cherish...: Heb. be a cherisher unto him}"
1 Kings,11,3,"So they were searching for a hot girl all over Israel, and stumbled upon Abishag, a total babe from Shunem, and brought her to the king.","So they sought for a fair damsel throughout all the coasts of Israel, and found Abishag a Shunammite, and brought her to the king."
1 Kings,11,4,"And the girl was super attractive, and she was really into the king, and took care of him and served him. But the king didn't hook up with her.","And the damsel {was} very fair, and cherished the king, and ministered to him: but the king knew her not."
1 Kings,11,5,"So Adonijah, Haggith's son, thought he could totally be the king. He flexed by getting himself some sick chariots, horsemen, and even fifty dudes to hype him up. #RoyalGoals #Reign","Then Adonijah the son of Haggith exalted himself, saying, I will be king: and he prepared him chariots and horsemen, and fifty men to run before him. {be king: Heb. reign}"
1 Kings,11,6,"And his dad never got mad at him and asked, 'Why'd you do that?' He was a really good-looking guy too, and his mom had him after Absalom.","And his father had not displeased him at any time in saying, Why hast thou done so? and he also {was a} very goodly {man}; and {his mother} bare him after Absalom. {at any...: Heb. from his days}"
1 Kings,11,7,"And he talked with Joab, son of Zeruiah, and with Abiathar the priest. They teamed up with Adonijah and supported him.","And he conferred with Joab the son of Zeruiah, and with Abiathar the priest: and they following Adonijah helped {him}. {he...: Heb. his words were with} {following...: Heb. helped after Adonijah}"
1 Kings,11,8,"But Zadok the priest, Benaiah (Jehoiada's son), Nathan the prophet, Shimei, Rei, and David's awesome squad were not rollin' with Adonijah.","But Zadok the priest, and Benaiah the son of Jehoiada, and Nathan the prophet, and Shimei, and Rei, and the mighty men which {belonged} to David, were not with Adonijah."
1 Kings,11,9,"And Adonijah killed some dope sheep and oxen and thicc cattle near this lit spot called Zoheleth, right next to Enrogel. He gathered all his bros, who were the king's sons, and all the homies from Judah who worked for the king. Enrogel was like a sick well, by the way, also known as the well Rogel.","And Adonijah slew sheep and oxen and fat cattle by the stone of Zoheleth, which {is} by Enrogel, and called all his brethren the king's sons, and all the men of Judah the king's servants: {Enrogel: or, the well Rogel}"
1 Kings,11,10,"But Nathan the prophet, Benaiah, the epic warriors, and Solomon, his bro, he didn't even reach out to them.","But Nathan the prophet, and Benaiah, and the mighty men, and Solomon his brother, he called not."
1 Kings,11,11,"So, like, Nathan goes up to Bathsheba, Solomon's mom, and he's like, 'Yo, have you not heard that Adonijah, Haggith's son, is lowkey ruling, and our main man David has no clue?'","Wherefore Nathan spake unto Bathsheba the mother of Solomon, saying, Hast thou not heard that Adonijah the son of Haggith doth reign, and David our lord knoweth {it} not?"
1 Kings,11,12,"So, like, listen up now. I'm about to drop some wisdom on you. It's important if you wanna save your own life and your son Solomon's life too, you know what I'm saying?","Now therefore come, let me, I pray thee, give thee counsel, that thou mayest save thine own life, and the life of thy son Solomon."
1 Kings,11,13,"Yo, go find King David and be like, 'Bro, didn't you swear to me, your loyal servant, that Solomon, your son, would be the next king? So why is Adonijah ruling instead?'","Go and get thee in unto king David, and say unto him, Didst not thou, my lord, O king, swear unto thine handmaid, saying, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne? why then doth Adonijah reign?"
1 Kings,11,14,"Yo, listen up. While you're still chatting it up with the king, I'm gonna slide in right after you and back you up, making your words even stronger. {confirm: Heb. fill up}","Behold, while thou yet talkest there with the king, I also will come in after thee, and confirm thy words. {confirm: Heb. fill up}"
1 Kings,11,15,"So Bathsheba entered the king's chamber, and, like, the king was like super old, you know? And this girl named Abishag from Shunem was, like, taking care of the king and stuff.",And Bathsheba went in unto the king into the chamber: and the king was very old; and Abishag the Shunammite ministered unto the king.
1 Kings,11,16,"Bathsheba was respectful and bowed down to the king. And the king asked, 'What's up? What can I do for you?'","And Bathsheba bowed, and did obeisance unto the king. And the king said, What wouldest thou? {What...: Heb. What to thee?}"
1 Kings,11,17,"And she was like, 'Dude, you made a promise to me, swearin' by the LORD your God, that Solomon, your son, would totally become king after me and take over my throne.'","And she said unto him, My lord, thou swarest by the LORD thy God unto thine handmaid, {saying}, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne."
1 Kings,11,18,"Yo, listen up, Adonijah is totally in charge now. And, like, King, you have no clue about it, okay?","And now, behold, Adonijah reigneth; and now, my lord the king, thou knowest {it} not:"
1 Kings,11,19,"So, he's like totally slaughtered a ton of oxen, fat cattle, and sheep, and he's gathered all the king's sons, Abiathar the priest, and Joab the leader of the army. But he hasn't invited your buddy Solomon, man.","And he hath slain oxen and fat cattle and sheep in abundance, and hath called all the sons of the king, and Abiathar the priest, and Joab the captain of the host: but Solomon thy servant hath he not called."
1 Kings,11,20,"Yo, King, all of Israel is watching you! They wanna know who's gonna take the throne after you, my dude.","And thou, my lord, O king, the eyes of all Israel {are} upon thee, that thou shouldest tell them who shall sit on the throne of my lord the king after him."
1 Kings,11,21,"If my king, like, dies and stuff, me and my boy Solomon will be labeled as troublemakers. (troublemakers: Hebrew for sinners)","Otherwise it shall come to pass, when my lord the king shall sleep with his fathers, that I and my son Solomon shall be counted offenders. {offenders: Heb. sinners}"
1 Kings,11,22,"And OMG, as she was still talking with the king, Nathan the prophet also came in.","And, lo, while she yet talked with the king, Nathan the prophet also came in."
1 Kings,11,23,"So, they were like, 'Yo, the king, Nathan the prophet is here!' And when Nathan came in, he straight up bowed down and put his face on the ground, showing mad respect for the king.","And they told the king, saying, Behold Nathan the prophet. And when he was come in before the king, he bowed himself before the king with his face to the ground."
1 Kings,11,24,"And Nathan was like, yo king, did you say Adonijah's gonna rule after me and take my throne?","And Nathan said, My lord, O king, hast thou said, Adonijah shall reign after me, and he shall sit upon my throne?"
1 Kings,11,25,"Yo, this dude went all out today! He's straight up slayed a ton of oxen, fat cattle, and sheep. Plus, he's gathered all the king's sons, the captains of the crew, and Abiathar the priest. They're feasting it up and shouting, 'Long live King Adonijah!'","For he is gone down this day, and hath slain oxen and fat cattle and sheep in abundance, and hath called all the king's sons, and the captains of the host, and Abiathar the priest; and, behold, they eat and drink before him, and say, God save king Adonijah. {God...: Heb. Let king Adonijah live}"
1 Kings,11,26,"But like, yo, even I, your homie, and Zadok the priest, and Benaiah, the son of Jehoiada, and your boy Solomon, haven't been summoned or anything.","But me, {even} me thy servant, and Zadok the priest, and Benaiah the son of Jehoiada, and thy servant Solomon, hath he not called."
1 Kings,11,27,Did my dude the king do this without telling your homie who's supposed to be the next king after him?,"Is this thing done by my lord the king, and thou hast not shewed {it} unto thy servant, who should sit on the throne of my lord the king after him?"
1 Kings,11,28,"So King David was like, 'Yo, bring Bathsheba here.' And she rolled up to the king's crib, standing in front of him and all.","Then king David answered and said, Call me Bathsheba. And she came into the king's presence, and stood before the king. {into...: Heb. before the king}"
1 Kings,11,29,"And the king was like, dude, I swear on everything that's epic and amazing, the LORD is legit and has totally saved me from all the messed up situations!","And the king sware, and said, {As} the LORD liveth, that hath redeemed my soul out of all distress,"
1 Kings,11,30,"Like, I promised you before the LORD God of Israel, for real, that Solomon your son is totally gonna be the next king after me. He'll like, literally sit on my throne and everything. And guess what? Today, I'm absolutely gonna make it happen, no doubt.","Even as I sware unto thee by the LORD God of Israel, saying, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne in my stead; even so will I certainly do this day."
1 Kings,11,31,"Bathsheba straight up bowed down to the ground, showing respect to the king, and said, 'Long live my lord, King David, forever.'","Then Bathsheba bowed with {her} face to the earth, and did reverence to the king, and said, Let my lord king David live for ever."
1 Kings,11,32,"So, like King David was all, 'Yo, get Zadok the priest, Nathan the prophet, and Benaiah the homie, son of Jehoiada. And they came and stood in front of the king, ya know?","And king David said, Call me Zadok the priest, and Nathan the prophet, and Benaiah the son of Jehoiada. And they came before the king."
1 Kings,11,33,"Yo, listen up! The king told them, 'Grab your lord's servants, and let Solomon, my son, ride on my sick mule. Take him down to Gihon ASAP. It's mine, ya feel me?'","The king also said unto them, Take with you the servants of your lord, and cause Solomon my son to ride upon mine own mule, and bring him down to Gihon: {mine...: Heb. which belongeth to me}"
1 Kings,11,34,"So, Zadok the priest and Nathan the prophet should totally declare him king of Israel, and you guys should blast the trumpet and shout, Godd save King Solomon!'","And let Zadok the priest and Nathan the prophet anoint him there king over Israel: and blow ye with the trumpet, and say, God save king Solomon."
1 Kings,11,35,"So, like, once he's done, you should totally come up and take his spot on the throne. 'Cause, like, you're gonna be the new king in my place, and I've totally picked you to be the ruler over Israel and Judah.","Then ye shall come up after him, that he may come and sit upon my throne; for he shall be king in my stead: and I have appointed him to be ruler over Israel and over Judah."
1 Kings,11,36,"And Benaiah, the son of Jehoiada, responded to the king, and he was like, 'For real, dude! The LORD God of my lord, the king, totally agrees, yo.'","And Benaiah the son of Jehoiada answered the king, and said, Amen: the LORD God of my lord the king say so {too}."
1 Kings,11,37,"Just like the LORD has been with my lord the king, let him also be with Solomon, and make his throne even more epic than my lord king David's throne.","As the LORD hath been with my lord the king, even so be he with Solomon, and make his throne greater than the throne of my lord king David."
1 Kings,11,38,"Then Zadok the priest, Nathan the prophet, Benaiah (Jehoiada's son), the Cherethites, and the Pelethites all went down and made Solomon ride on King David's mule, and led him to Gihon.","So Zadok the priest, and Nathan the prophet, and Benaiah the son of Jehoiada, and the Cherethites, and the Pelethites, went down, and caused Solomon to ride upon king David's mule, and brought him to Gihon."
1 Kings,11,39,"So, like, this priest dude named Zadok grabbed a bottle of oil from the fancy tent and poured it all over Solomon. Then, they started hella blowing the trumpet and all the people were like, 'Yo, God bless king Solomon!'","And Zadok the priest took an horn of oil out of the tabernacle, and anointed Solomon. And they blew the trumpet; and all the people said, God save king Solomon."
1 Kings,11,40,"And everyone followed him, jamming out on their instruments, and celebrated like there was no tomorrow! The noise they made was so hype that it shook the ground.","And all the people came up after him, and the people piped with pipes, and rejoiced with great joy, so that the earth rent with the sound of them. {pipes: or, flutes}"
1 Kings,11,41,"Adonijah and all his squad heard it while they were finished grubbing. And when Joab heard the sound of the trumpet, he was like, yo, why is the whole city tripping?","And Adonijah and all the guests that {were} with him heard {it} as they had made an end of eating. And when Joab heard the sound of the trumpet, he said, Wherefore {is this} noise of the city being in an uproar?"
1 Kings,11,42,"And as he was still talking, bro, Jonathan, Abiathar's son and the priest, pulled up. Adonijah was like, 'Yo, come on in! You're a total legend and you bring awesome news!'","And while he yet spake, behold, Jonathan the son of Abiathar the priest came: and Adonijah said unto him, Come in; for thou {art} a valiant man, and bringest good tidings."
1 Kings,11,43,"And Jonathan was like, dude, Adonijah, for real, our king David made Solomon the boss king.","And Jonathan answered and said to Adonijah, Verily our lord king David hath made Solomon king."
1 Kings,11,44,"So the king sent Zadok the priest, Nathan the prophet, Benaiah the son of Jehoiada, the Cherethites, and the Pelethites to accompany him, and they made him ride on the king's mule.","And the king hath sent with him Zadok the priest, and Nathan the prophet, and Benaiah the son of Jehoiada, and the Cherethites, and the Pelethites, and they have caused him to ride upon the king's mule:"
1 Kings,11,45,"So like, Zadok the priest and Nathan the prophet just made him king in Gihon, and they're all hyped as they come back to the city, so it's like a crazy celebration going on. That's the sound that y'all are hearing.","And Zadok the priest and Nathan the prophet have anointed him king in Gihon: and they are come up from thence rejoicing, so that the city rang again. This {is} the noise that ye have heard."
1 Kings,11,46,"And yo, Solomon is chillaxin' on the throne, ruling the kingdom.",And also Solomon sitteth on the throne of the kingdom.
1 Kings,11,47,"And the king's squad came to give props to our boy King David, saying, May the man Solomon flex a better rep than you, and may his throne be bigger than your throne. And the king showed mad respect by bowing on his bed.","And moreover the king's servants came to bless our lord king David, saying, God make the name of Solomon better than thy name, and make his throne greater than thy throne. And the king bowed himself upon the bed."
1 Kings,11,48,"And like, the king was like, 'Yo, praise the LORD God of Israel, man! He's hooked me up with someone to rule on my throne today, and bro, I totally saw it with my own eyes! 🙌👑","And also thus said the king, Blessed {be} the LORD God of Israel, which hath given {one} to sit on my throne this day, mine eyes even seeing {it}."
1 Kings,11,49,"And all of Adonijah's crew got shook, bounced and scattered.","And all the guests that {were} with Adonijah were afraid, and rose up, and went every man his way."
1 Kings,11,50,"Adonijah got scared of Solomon, so he hopped up, went out, and grabbed onto the altar's horns.","And Adonijah feared because of Solomon, and arose, and went, and caught hold on the horns of the altar."
1 Kings,11,51,"So, Solomon got a message that basically said, 'Yo, check it out, Adonijah is scared of you, bro. He's freaking clutching onto the altar like his life depends on it, begging you to pinky swear that you won't go all sword-wielding crazy and kill him today.'","And it was told Solomon, saying, Behold, Adonijah feareth king Solomon: for, lo, he hath caught hold on the horns of the altar, saying, Let king Solomon swear unto me to day that he will not slay his servant with the sword."
1 Kings,11,52,"Solomon was like, if this dude proves he's legit, not a single strand of his hair will be harmed. But if he turns out to be wicked, he's donezo.","And Solomon said, If he will shew himself a worthy man, there shall not an hair of him fall to the earth: but if wickedness shall be found in him, he shall die."
1 Kings,11,53,"So King Solomon was like, 'Yo, go get him from the altar.' And they brought him down and he came over, showed mad respect by bowing to King Solomon. Then Solomon was like, 'Bro, time for you to head back home.'","So king Solomon sent, and they brought him down from the altar. And he came and bowed himself to king Solomon: and Solomon said unto him, Go to thine house."
1 Kings,21,2,"I'm about to kick the bucket like everyone else: so, like, man up and show some real strength!","I go the way of all the earth: be thou strong therefore, and shew thyself a man;"
1 Kings,21,3,"Make sure you obey the rules of the LORD your God and follow his ways, keeping all his laws, commandments, judgments, and testimonies that are written in the law of Moses. By doing this, you'll succeed in everything you do and wherever you go. {succeed: or, be wise}","And keep the charge of the LORD thy God, to walk in his ways, to keep his statutes, and his commandments, and his judgments, and his testimonies, as it is written in the law of Moses, that thou mayest prosper in all that thou doest, and whithersoever thou turnest thyself: {prosper: or, do wisely}"
1 Kings,21,4,"So basically, God's like, 'Yo, I'm gonna make sure my promise to you stays legit, bro. If your fam stays on point, walking in truth with their whole being, I promise you won't be lacking a king ruling over Israel. Like, seriously, no one's gonna snatch that away from you.'","That the LORD may continue his word which he spake concerning me, saying, If thy children take heed to their way, to walk before me in truth with all their heart and with all their soul, there shall not fail thee saidd he) a man on the throne of Israel. {fail...: Heb. be cut off from thee from the throne}"
1 Kings,21,5,"Also, you're aware of all the messed up stuff Joab did to me, right? He straight up killed Abner and Amasa, who were high-ranking dudes in Israel's army! And get this, he spilled their blood even when there wasn't a dang war going on. He was so ruthless, he stained his belt and shoes with their blood like some sick trophy.","Moreover thou knowest also what Joab the son of Zeruiah did to me, {and} what he did to the two captains of the hosts of Israel, unto Abner the son of Ner, and unto Amasa the son of Jether, whom he slew, and shed the blood of war in peace, and put the blood of war upon his girdle that {was} about his loins, and in his shoes that {were} on his feet. {shed: Heb. put}"
1 Kings,21,6,"So, like, use your smarts and make sure his gray hair doesn't rest in peace when he kicks the bucket.","Do therefore according to thy wisdom, and let not his hoar head go down to the grave in peace."
1 Kings,21,7,"Yo, be cool to the dudes from Barzillai's fam, the Gileadites, and let 'em chill at your table, 'cause they had my back when I bounced 'cause of your brother Absalom.","But shew kindness unto the sons of Barzillai the Gileadite, and let them be of those that eat at thy table: for so they came to me when I fled because of Absalom thy brother."
1 Kings,21,8,"Yo, check it out, you still got Shimei, Gera's son, a Benjamite from Bahurim, who seriously cursed me over at Mahanaim. But when I got to the Jordan, he came to meet me, and I made a promise to him in the name of the LORD, saying, I won't kill you with a sword, bro. Word.","And, behold, {thou hast} with thee Shimei the son of Gera, a Benjamite of Bahurim, which cursed me with a grievous curse in the day when I went to Mahanaim: but he came down to meet me at Jordan, and I sware to him by the LORD, saying, I will not put thee to death with the sword. {grievous: Heb. strong}"
1 Kings,21,9,"So like, don't just let him slide, dude. You're totally wise and know exactly what you should do to him. But make sure he pays for his wrongs, even if it means taking him down to the grave with just retribution.","Now therefore hold him not guiltless: for thou {art} a wise man, and knowest what thou oughtest to do unto him; but his hoar head bring thou down to the grave with blood."
1 Kings,21,10,"After living a full life, David passed away and was laid to rest in the city of David.","So David slept with his fathers, and was buried in the city of David."
1 Kings,21,11,"So, David was in charge of Israel for a whole 40 years. He started his reign in Hebron and ruled there for 7 years. Then, he moved to Jerusalem and ruled for another 33 years.","And the days that David reigned over Israel {were} forty years: seven years reigned he in Hebron, and thirty and three years reigned he in Jerusalem."
1 Kings,21,12,"So Solomon slid into David's throne, a total power move, and his kingdom was totally lit, like, it was on another level.",Then sat Solomon upon the throne of David his father; and his kingdom was established greatly.
1 Kings,21,13,"So Adonijah, Haggith's son, went to meet Solomon's mom, Bathsheba. And she was like, 'Are you here to cause any trouble?' And he was like, 'Nah, just chillin'.","And Adonijah the son of Haggith came to Bathsheba the mother of Solomon. And she said, Comest thou peaceably? And he said, Peaceably."
1 Kings,21,14,"He was like, 'Yo, I got something to tell you.' And she was like, 'Spill the tea!'","He said moreover, I have somewhat to say unto thee. And she said, Say on."
1 Kings,21,15,"And he was like, you know that the kingdom used to be mine, and, like, all of Israel was supporting me to be the ruler. But, like, things have totally flipped, and now the kingdom belongs to my bro because the Big Guy upstairs said so.","And he said, Thou knowest that the kingdom was mine, and {that} all Israel set their faces on me, that I should reign: howbeit the kingdom is turned about, and is become my brother's: for it was his from the LORD."
1 Kings,21,16,"So like, I've got this one favor to ask. Please don't say no. And she's all like, 'Yeah, sure, spill it.'","And now I ask one petition of thee, deny me not. And she said unto him, Say on. {deny...: Heb. turn not away my face}"
